Tahun,BI_Rate,BBM,Kurs_USD_IDR,Harga_Beras,Inflasi_Inti,Inflasi_Total,Bulan_Agustus,Bulan_April,Bulan_Desember,Bulan_Februari,Bulan_Januari,Bulan_Juli,Bulan_Juni,Bulan_Maret,Bulan_Mei,Bulan_November,Bulan_Oktober,Bulan_September,BI_Rate_lag1,BBM_lag1,Kurs_USD_IDR_lag1,Harga_Beras_lag1,Inflasi_Inti_lag1,Inflasi_Total_lag1
2013,5.75,4500.0,9690.0,8834.82,0.36,4.57,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,
2013,5.75,4500.0,9660.0,8842.94,0.3,5.31,0,0,0,1,0,0,0,0,0,0,0,0,5.75,4500.0,9690.0,8834.82,0.36,4.57
2013,5.75,4500.0,9715.0,8782.58,0.13,5.9,0,0,0,0,0,0,0,1,0,0,0,0,5.75,4500.0,9660.0,8842.94,0.3,5.31
2013,5.75,4500.0,9720.0,8711.39,0.14,5.57,0,1,0,0,0,0,0,0,0,0,0,0,5.75,4500.0,9715.0,8782.58,0.13,5.9
2013,5.75,4500.0,9790.0,8681.21,0.06,5.47,0,0,0,0,0,0,0,0,1,0,0,0,5.75,4500.0,9720.0,8711.39,0.14,5.57
2013,6.0,6500.0,9920.0,8784.42,0.32,5.9,0,0,0,0,0,0,1,0,0,0,0,0,5.75,4500.0,9790.0,8681.21,0.06,5.47
2013,6.5,6500.0,10270.0,9017.72,0.99,8.61,0,0,0,0,0,1,0,0,0,0,0,0,6.0,6500.0,9920.0,8784.42,0.32,5.9
2013,7.0,6500.0,10910.0,9056.67,1.01,8.79,1,0,0,0,0,0,0,0,0,0,0,0,6.5,6500.0,10270.0,9017.72,0.99,8.61
2013,7.25,6500.0,11570.0,9057.99,0.57,8.4,0,0,0,0,0,0,0,0,0,0,0,1,7.0,6500.0,10910.0,9056.67,1.01,8.79
2013,7.25,6500.0,11265.0,9108.46,0.34,8.32,0,0,0,0,0,0,0,0,0,0,1,0,7.25,6500.0,11570.0,9057.99,0.57,8.4
2013,7.5,6500.0,11955.0,9152.07,0.2,8.37,0,0,0,0,0,0,0,0,0,1,0,0,7.25,6500.0,11265.0,9108.46,0.34,8.32
2013,7.5,6500.0,12160.0,9262.0,0.45,8.38,0,0,1,0,0,0,0,0,0,0,0,0,7.5,6500.0,11955.0,9152.07,0.2,8.37
2014,7.5,6500.0,12205.0,9433.17,0.56,8.22,0,0,0,0,1,0,0,0,0,0,0,0,7.5,6500.0,12160.0,9262.0,0.45,8.38
2014,7.5,6500.0,11604.0,9531.2,0.37,7.75,0,0,0,1,0,0,0,0,0,0,0,0,7.5,6500.0,12205.0,9433.17,0.56,8.22
2014,7.5,6500.0,11355.0,9595.89,0.21,7.32,0,0,0,0,0,0,0,1,0,0,0,0,7.5,6500.0,11604.0,9531.2,0.37,7.75
2014,7.5,6500.0,11558.0,9424.65,0.24,7.25,0,1,0,0,0,0,0,0,0,0,0,0,7.5,6500.0,11355.0,9595.89,0.21,7.32
2014,7.5,6500.0,11670.0,9413.91,0.23,7.32,0,0,0,0,0,0,0,0,1,0,0,0,7.5,6500.0,11558.0,9424.65,0.24,7.25
2014,7.5,6500.0,11845.0,9462.01,0.25,6.7,0,0,0,0,0,0,1,0,0,0,0,0,7.5,6500.0,11670.0,9413.91,0.23,7.32
2014,7.5,6500.0,11575.0,9525.38,0.52,4.53,0,0,0,0,0,1,0,0,0,0,0,0,7.5,6500.0,11845.0,9462.01,0.25,6.7
2014,7.5,6500.0,11685.0,9525.38,0.46,3.99,1,0,0,0,0,0,0,0,0,0,0,0,7.5,6500.0,11575.0,9525.38,0.52,4.53
2014,7.5,6500.0,12180.0,9693.67,0.29,4.53,0,0,0,0,0,0,0,0,0,0,0,1,7.5,6500.0,11685.0,9525.38,0.46,3.99
2014,7.5,6500.0,12080.0,9780.91,0.27,4.83,0,0,0,0,0,0,0,0,0,0,1,0,7.5,6500.0,12180.0,9693.67,0.29,4.53
2014,7.75,8500.0,12199.0,9924.39,0.4,6.23,0,0,0,0,0,0,0,0,0,1,0,0,7.5,6500.0,12080.0,9780.91,0.27,4.83
2014,7.75,8500.0,12380.0,10343.98,1.02,8.36,0,0,1,0,0,0,0,0,0,0,0,0,7.75,8500.0,12199.0,9924.39,0.4,6.23
2015,7.75,6700.0,12665.0,10612.11,0.61,6.96,0,0,0,0,1,0,0,0,0,0,0,0,7.75,8500.0,12380.0,10343.98,1.02,8.36
2015,7.5,6800.0,12920.0,10765.74,0.34,6.29,0,0,0,1,0,0,0,0,0,0,0,0,7.75,6700.0,12665.0,10612.11,0.61,6.96
